一	yi1|yi2|yi4
嵋	mei2
篘	chou1
逾	yu2|dou4
弼	bi4
绅	shen1
腑	fu3
瑚	hu2
稽	ji1|qi3
溉	gai4|xie4
宵	xiao1
祈	qi2|gui3
庇	bi4|pi2|pi3
備	bei4
蒿	hao1|gao3
蛛	zhu1
窍	qiao4
勬	juan1
玫	mei2
煞	sha1|sha4
笨	ben4
鸽	ge1
泵	beng4|pin4|liu2
袱	fu2
薇	wei1
捡	jian3
堝	guo1|wo1
拈	nian1|nian3|dian1
驯	xun4|xun2
骡	luo2
肇	zhao4
砰	peng1|ping1|peng4
垣	yuan2
迄	qi4
斟	zhen1
灼	zhuo2
澜	lan2
漕	cao2|cao4
萼	e4
葫	hu2
鏂	ou1|kou1
梗	geng3
洼	wa1|gui1
筷	kuai4
僻	pi4
鳌	ao2
镶	xiang1
捆	kun3|hun2
昧	mei4|wen3|mo4
跺	duo4
棘	ji2
曙	shu3
滄	cang1
阜	fu4
豁	huo1|huo4|hua2
挟	xie2|jia1
睿	rui4
矢	shi3
湛	zhan4|chen2|dan1|tan2|jin4|yin3|chen3|yin2|shen4
酥	su1
眨	zha3
惕	ti4
淹	yan1|yan3
岔	cha4
稼	jia4
邹	zou1
逵	kui2|kui3
灞	ba4
揉	rou2
俭	jian3
蛙	wa1|jue2
匣	xia2
陋	lou4
盔	kui1
羌	qiang1
缆	lan3
聂	nie4
莉	li4|li2|chi2
抒	shu1
痰	tan2
湴	ban4|pan2
慷	kang1
後	hou4
懈	xie4
芜	wu2
琛	chen1
骆	luo4
扳	ban1|pan1
汛	xun4
悍	han4
呕	ou3|ou1|ou4
岀	chu1
虞	yu2
瑕	xia2
酚	fen1
伺	ci4|si4
細	xi4
拽	zhuai1|zhuai4|ye4
羡	xian4|yan2|yi2
鐗	jian3
鍔	e4
蔗	zhe4
滇	dian1|tian2|zhen1
苔	tai2|tai1
彬	bin1|ban1
拇	mu3
冥	ming2|mian2|mian4
鍗	ti2
厕	ce4|si5
絮	xu4|chu4|nv4|na4
藉	ji2|jie4
窥	kui1
羹	geng1|lang2
奕	yi4
閲	yue4
铮	zheng1|zheng4
矶	ji1
夊	sui1
晖	hui1
匕	bi3|pin4
逗	dou4|zhu4|tou2|qi2
傗	chu4
哺	bu3|bu1|fu3
倪	ni2|ni4|nie4
怠	dai4|yi2
瞩	zhu3
窖	jiao4|zao4
檀	tan2|shan4
蕉	jiao1|qiao2|qiao1
缀	zhui4
苕	shao2|tiao2
猿	yuan2
浊	zhuo2
瞥	pie1|bi4
簿	bu4|bo2
璁	cong1
缉	ji1|qi1
皋	gao1|hao2|gu1
魦	sha1|suo1
楠	nan2
萌	meng2|ming2
斡	wo4|guan3
焖	men4
揖	yi1|ji2
祺	qi2
鍥	qie4
烷	wan2
芋	yu4|yu2|xu1|yu3
绽	zhan4
侗	dong4|tong1|tong2|tong3
匙	shi5|chi2
谬	miu4
睦	mu4
橙	cheng2|deng4|chen2
剌	la2|la4
撼	han4
撮	cuo1|zuo3|zui4|zuan1|chua1
熏	xun1|xun4
碾	nian3
亢	kang4|gang1|geng1
垦	ken3|yin2
逍	xiao1
彰	zhang1
佃	dian4|tian2
邑	yi4|e4
梓	zi3
啪	pa1
诰	gao4
嗗	wa1|gu1
驹	ju1
嗡	weng1|weng3
羁	ji1
敝	bi4
汞	gong3
嚣	xiao1|ao2
辫	bian4
蝇	ying2
汹	xiong1
沅	yuan2
惭	can2
蠡	li2|li3|luo3|luo2|li4
墟	xu1
娴	xian2
咧	lie3|lie1|lie4|lie2|lie5
漳	zhang1
滔	tao1
韧	ren4
孢	bao1
缕	lv3
炯	jiong3
涩	se4
嵩	song1
缎	duan4
饷	xiang3
唬	hu3|xiao1|guo2|xia4|hao2
哉	zai1
褰	qian1
鎶	ge1
濒	bin1
峭	qiao4
鳙	yong1
筛	shai1
殉	xun4
嶆	cao2
霎	sha4
椭	tuo3
啤	pi2
咯	ge1|ka3|lo5|luo4|ka1
兘	shi3
婿	xu4
眯	mi1|mi2|mi3|mi4
眶	kuang4
鸪	gu1
珂	ke1
靡	mi2|mi3|ma2
矫	jiao3|jiao2
鍛	duan4
诲	hui4
渤	bo2
闃	qu4
钥	yao4|yue4
肘	zhou3
嘶	si1
孽	nie4
杞	qi3
饵	er3
咚	dong1
敕	chi4|sou1
熷	zeng1
潵	sa3|san4
桨	jiang3
樱	ying1
戎	rong2|reng1
榻	ta4
愕	e4
鮠	wei2
晤	wu4
蔓	man4|man2|wan4
啼	ti2
憋	bie1
鹧	zhe4
笃	du3
侣	lv3
瓙	dao4
懿	yi4|yi1
骸	hai2|gai1
摹	mo2|mo1
磋	cuo1
皂	zao4
嬪	pin2
欎	yu4
咏	yong3
趾	zhi3
吭	keng1|hang2|hang4
翘	qiao4|qiao2
鲤	li3
鎯	lang2|luo3
拣	jian3
骞	qian1
乍	zha4|zuo4
鳄	e4
酯	zhi3
栅	zha4|shan1|ce4
绰	chuo4|chao1
氟	fu2
渣	zha1
鸠	jiu1
娌	li3
锯	ju4|ju1
邱	qiu1
莹	ying2
脓	nong2
闺	gui1
颐	yi2
譬	pi4
钛	tai4
奎	kui2|kui3
揣	chuai1|chuai3|chuai4|duo3|zhui1|tuan2
溅	jian4|jian1
绢	juan4
茸	rong1|rong2|rong3
蜒	yan2|yan4|dan4
笂	wan2
烁	shuo4
畸	ji1|qi2
姝	shu1
棠	tang2
怦	peng1
晦	hui4
瘫	tan1
朔	shuo4
疮	chuang1
蓦	mo4
靶	ba3|ba4
攒	zan3|cuan2
渭	wei4
铀	you2
磅	bang4|pang2|pang1
唾	tuo4
茄	jia1|qie2
蕾	lei3
馨	xin1
廖	liao4|liao2
荤	hun1|xun1
傣	dai3
胥	xu1|xu3
兢	jing1
扛	kang2|gang1
葵	kui2
丕	pi1
舜	shun4
鲨	sha1
闂	hong4|xiang4|juan3
乒	ping1
闄	yao3
逞	cheng3|ying2
诬	wu1
苟	gou3|gou1
廓	kuo4
镍	nie4
槛	kan3|jian4
狡	jiao3|xiao4
牟	mou2|mu4|mao4
鸳	yuan1
俏	qiao4|xiao4|xiao1
芥	jie4|gai4
浼	mei3
裴	pei2|fei2
鐢	fan2
麟	lin2
稚	zhi4
叭	ba1|pa1|ba5
氣	qi4|xi4
鑰	yao4|yue4
悼	dao4
岄	yue4
漓	li2
楞	leng2|leng4
毗	pi2
赎	shu2
倭	wo1|wei1|wo3
変	bian4
玺	xi3
蝉	chan2
憎	zeng1
楷	kai3|jie1|jie4
柑	gan1|qian2
杠	gang1|gang4|gong1
蚊	wen2
妒	du4
馈	kui4
删	shan1
孜	zi1
滃	weng1|weng3
偅	zhong4|chong1|tong2
拙	zhuo1
韬	tao1
祷	dao3
熄	xi1
鸯	yang1
佹	gui3|gui1
樻	kui4
虐	nve4
蒯	kuai3|kuai4
紊	wen3|wen4
酰	xian1
佬	lao3|liao2
翌	yi4
妮	ni1|ni2
蚌	bang4|beng4|pi2|feng1
沁	qin4
侈	chi3
噶	ga2|ge2
剃	ti4
霳	long2
芭	ba1|pa1
烩	hui4
稠	chou2|tiao2|diao4
锭	ding4
娑	suo1|suo3|suo4
胧	long2
琅	lang2|lang4
坞	wu4
褂	gua4
筵	yan2
轧	ya4|zha2|ga2
褶	zhe3|die2|xi2
觑	qu4|qu1
酮	tong2|dong4|chong2
篆	zhuan4
醛	quan2|chuo4
洽	qia4|he2
唧	ji1|jie2
趴	pa1
绉	zhou4
崛	jue2|yu4
嗭	zhi2
圻	qi2|yin2
扼	e4
叨	dao1|dao2|tao1
蒜	suan4
寞	mo4
毡	zhan1
簧	huang2
砥	di3|zhi3
撬	qiao4
煨	wei1|yu4
嫉	ji2
腮	sai1
慑	she4
朦	meng2|mang3
鍘	zha2
閮	ting2|ting3
嗅	xiu4
鲢	lian2
聋	long2
炖	dun4|tun2
酌	zhuo2
冉	ran3|nan2|dan1
嗕	ru4
胤	yin4
攘	rang3|rang4|ning2|xiang3
牒	die2
吱	zhi1|zi1|qi4
嫔	pin2
笙	sheng1
蜿	wan1|wan3
裳	shang5|chang2
碘	dian3
霄	xiao1|xiao4
鏅	xiu1|xiu4
瘾	yin3
捻	nian3|nie1|nian1
乓	pang1
澧	li3
吆	yao1
嶈	qiang1
劾	he2|kai4
瞰	kan4
橘	ju2
澡	zao3|cao1
酋	qiu2
灸	jiu3
竿	gan1|gan4|gan3
梍	zao4
矗	chu4
耙	ba4|pa2
寥	liao2
钝	dun4
蛾	e2|yi3
姹	cha4
籗	zhuo2
勺	shao2|shuo4|zhuo2|di4
庚	geng1
剁	duo4
狩	shou4
隘	ai4|e4
靴	xue1
搓	cuo1|cuo3|chai1
篃	mei4
狸	li2
犲	chai2
讥	ji1
擂	lei2|lei4|lei1
犳	zhuo2
豌	wan1
馒	man2
茬	cha2|chi2
伶	ling2
秭	zi3
戝	zei2
鲸	jing1
苛	ke1|he1
镁	mei3
梵	fan4
傝	tan4|ta4
垛	duo3|duo4
臀	tun2
颌	he2|ge2
颅	lu2
夋	qun1
徊	huai2|hui2
捎	shao1|shao4|shao3|xiao1|qiao4
鎬	hao4|gao3
幢	chuang2|zhuang4
弩	nu3
讧	hong4
咦	yi2|xi1
嘎	ga1|ga2|ga3
鍜	xia2
涕	ti4
俸	feng4|beng3
纂	zuan3
呻	shen1
卯	mao3
嗜	shi4
札	zha2|ya4
榆	yu2
噢	o1|yu3|yu4|ao4
锜	qi2
蔑	mie4
峙	zhi4|shi4
虘	cuo2
姬	ji1|yi2
萎	wei1|wei3|wei4
绷	beng1|beng3|beng4
赂	lu4
蚂	ma3|ma4|ma1
戮	lu4
瓮	weng4
蹦	beng4
穗	sui4
肋	le1|lei4|le4|jin1
壕	hao2
辇	nian3
陇	long3
椰	ye1
氓	mang2|meng2
蟾	chan2
勮	ju4
辕	yuan2
恃	shi4|zhi4
狈	bei4
孵	fu1
嘟	du1
濮	pu2
熸	jian1
粱	liang2
袜	wa4|mo4
浚	jun4|xun4|cun2
刨	pao2|bao4
蛟	jiao1
栈	zhan4
筝	zheng1
箢	yuan1|wan3
閭	lv2
铬	ge4
惺	xing1
糍	ci2
兮	xi1
蕊	rui3|juan3
褚	chu3|zhe3|zhu3
涝	lao4
潼	tong2|chong1|zhong1
驸	fu4
黛	dai4
繕	shan4
箍	gu1
匡	kuang1|wang1
勪	jue2
闈	wei2
椁	guo3
梧	wu2|wu4|yu3
庢	zhi4
嬫	rong2
惮	dan4
胰	yi2
擎	qing2
绥	sui2
荧	ying2
拗	ao3|ao4|niu4|yu4
啃	ken3
弛	chi2
匿	ni4|te4
蟠	pan2|fan2
寅	yin2
疹	zhen3|chen4
枭	xiao1
殡	bin4
噷	hm5|xin1|hen1
尧	yao2
悖	bei4|bei3
桦	hua4
骼	ge2
呛	qiang1|qiang4
繀	sui4|cui3
勯	dan1
黯	an4|an1
赃	zang1
茵	yin1
褪	tui4|tun4
甬	yong3|dong4
挚	zhi4
嗔	chen1|tian2
澈	che4
鐫	juan1
毋	wu2|mou2
拴	shuan1|quan2
啗	dan4
倏	shu1
帷	wei2
嗦	suo5|suo1
淙	cong2|shuang4
闀	hong4
蘑	mo2
夔	kui2
羚	ling2
屎	shi3|xi1
搀	chan1
閬	lang4|lang3|liang3
袄	ao3
岚	lan2
鑳	jian4
埌	lang4
沮	ju3|ju1|ju4|jian1|zu3
挎	kua4|ku1|kou1
侥	jiao3|yao2
箫	xiao1
醚	mi2
瀵	fen4
腌	yan1|a1|ang1
埠	bu4
搴	qian1
潃	xiu3
砾	li4
竣	jun4
睐	lai4
栓	shuan1|shuan4|quan2
龢	he2
秽	hui4
焊	han4
垬	hong2
禺	yu2|yu4
煽	shan1
攸	you1
琵	pi2
璺	wen4
睬	cai3
冢	zhong3
捶	chui2|duo3
诣	yi4
剔	ti1|ti4
拧	ning2|ning3|ning4
砚	yan4
捂	wu3|wu2
邸	di3
熠	yi4
娉	ping1|pin4
欏	luo2|luo3
眩	xuan4|huan4|juan4
犀	xi1
橱	chu2
汴	bian4
漩	xuan2
鏀	lu3
嗘	ji1
勭	tong2|dong4
馔	zhuan4
锈	xiu4
濡	ru2|ruan3|er2|nuan2|nuo4
璐	lu4
诫	jie4
炊	chui1
榄	lan3
哮	xiao1|xiao4|xue1
冕	mian3
酵	jiao4
澹	dan4|tan2|dan1|shan4
瞿	qu2|ju4|ji2
琶	pa2
惫	bei4
酣	han1|han4
墮	duo4|hui1|hui4
筏	fa2
撩	liao1|liao2|liao3|lao4|liao4
鏍	luo2
龚	gong1
谍	die2
沥	li4
掳	lu3
欐	li4|li3
虔	qian2
掣	che4
萤	ying2
鐜	dui1|dun1
迥	jiong3
柿	shi4
涘	si4
琪	qi2
婷	ting2
獾	huan1|quan2
柩	jiu4
鹊	que4
忿	fen4
炽	chi4
貂	diao1
戊	wu4
噗	pu1
羟	qiang3
鐒	lao2
嘘	xu1|shi1
辍	chuo4
窒	zhi4|die2
淌	tang3|chang4|chang3
迸	beng4
暱	ni4
耆	qi2|zhi3|shi4
涤	di2
緱	gou1
贻	yi2
缰	jiang1
噬	shi4
縻	mi2
甄	zhen1|zhen4|juan4
崭	zhan3
阄	jiu1
祟	sui4
祐	you4
衅	xin4
蝴	hu2
樺	hua4
唆	suo1|shua4
堑	qian4
亯	xiang3
烃	ting1
嶄	zhan3|chan2
蹬	deng1|deng4
恪	ke4
竺	zhu2|du3
拷	kao3
绎	yi4
捅	tong3
驷	si4
谟	mo2
疤	ba1
颓	tui2
渺	miao3
戜	die2
黏	nian2
婊	biao3
谌	chen2
裏	li3
嬩	yu2
椿	chun1
胈	ba2
鑷	nie4
菑	zai1|zi1|zi4
忒	te4|tui1|tei1
哽	geng3|ying3|ying4|ng2|n2
绊	ban4
篡	cuan4
禰	mi2|ni3|xian3
镂	lou4
侃	kan3
拰	nin3
涧	jian4
囧	jiong3
庝	tong2
糙	cao1
躇	chu2|chuo4
佷	hen3|heng2
啄	zhuo2|zhou4
钨	wu1
淞	song1
庡	yi3
珑	long2
鬓	bin4
枫	feng1
毓	yu4
拭	shi4
雏	chu2
卉	hui4
拯	zheng3
疙	ge1|yi4
釉	you4
徘	pai2
甭	beng2|qi4
綋	hong2
踌	chou2
笺	jian1
炫	xuan4
蚣	gong1|zhong1
苷	gan1
绾	wan3
妊	ren4|ren2
踵	zhong3|zhong4
戍	shu4
墅	shu4|ye3
茧	jian3|chong2
阉	yan1
辙	zhe2
咄	duo1
滕	teng2
瘩	da1|da5|da2
惰	duo4|tuo2
嚭	pi3
犱	ji3
盎	ang4
箔	bo2
抉	jue2
烙	lao4|luo4
籽	zi3
姗	shan1
垢	gou4
氬	ya4
屉	ti4
驮	tuo2|duo4
腋	ye4
掐	qia1
噜	lu1
崎	qi2|qi3|yi1
陨	yun3
钵	bo1
槦	yong1
暨	ji4|jie4
曝	pu4|bao4
仞	ren4
夯	hang1|ben4
钳	qian2
帛	bo2
蓟	ji4
蜈	wu2
镐	gao3|hao4
嚎	hao2
懦	nuo4
湍	tuan1|zhuan1
瑛	ying1
鐩	sui4
肽	tai4
秤	cheng4|cheng1|ping2
澎	peng1|peng2
傀	gui1|kui3|kuai4
咙	long2
钴	gu3
扈	hu4
遁	dun4|qun1|xun2
阱	jing3
幌	huang3
踉	liang2|liang4|lang2|lang4
圃	pu3
萃	cui4
汀	ting1|ting4|ding4
栎	li4|yue4
窘	jiong3
叱	chi4|hua4|e2
蠕	ru2
溺	ni4|ruo4|niao4
佟	tong2
懊	ao4|yu4
夎	cuo4
锄	chu2
橄	gan3
跷	qiao1
骏	jun4
恤	xu4
讹	e2
汾	fen2|pen2|fen1
佚	yi4|die2
睫	jie2|she4
蝎	xie1|he2
鳖	bie1
棰	chui2|duo3
繃	beng3|beng1|beng4
哆	duo1|chi3|zha4|chi4|duo4|die3
咪	mi1|mi3|mie1|mai3
珀	po4
滀	chu4|xu4
儡	lei3|lei2|lei4
嫡	di2
笋	sun3
啷	lang1
馋	chan2
馏	liu2|liu4
叽	ji1|jiao4
紟	jin1|jin4
闵	min3
纨	wan2
蛤	ha2|ge2|ha1|e2
蔚	wei4|yu4
劧	zhi3
娠	shen1
铖	cheng2
眺	tiao4
淇	qi2
嗐	hai4
芸	yun2|yun4
熶	cuan4
跄	qiang1|qiang4
钗	chai1
鎸	juan1
蝗	huang2
拎	lin1|ling1
蹭	ceng4|ceng2
姘	pin1|pin2
紶	qu1|qu3
踱	duo2|chuo4
哧	chi1|xia4|he4
汲	ji2|ji1
槎	cha2
馍	mo2
鳔	biao4
嶇	qu1
饺	jiao3
呰	zi3|ci1|ji1|xi4
矾	fan2
掺	can4|chan1|shan3
磺	huang2|kuang4|gong3
莺	ying1
庑	wu3
踞	ju4
脯	pu2|fu3
楀	yu3
滆	ge2
髦	mao2
痪	huan4|tuan3
娲	wa1
壬	ren2
渎	du2
谒	ye4
珈	jia1
踁	jing4|keng1
鍓	ji2
奄	yan3|yan1
锺	zhong1
痹	bi4
撳	qin4
扉	fei1
婂	mian2
靛	dian4
迂	yu1
佺	quan2
棂	ling2
麝	she4
谛	di4
涟	lian2
彲	chi1
枷	jia1|jia4
貜	jue2
氖	nai3
酝	yun4
旌	jing1
熹	xi1
呸	pei1
簨	sun3|zhuan4
掇	duo1|duo2|zhuo1
於	yu2|yu1|wu1
鶴	he4
簌	su4
甯	ning2|ning4
曳	ye4
鏋	man3
咎	jiu4|gao1
喽	lou2|lou5
捍	han4|xian4|gan3
搔	sao1|sao4
锏	jian3|jian4
陙	chun2
沂	yi2|yin2
揩	kai1|jia2
蟆	ma2|mo4
喵	miao1
湅	lian4|lan4
鏁	suo3
刁	diao1
汶	wen4|wen2|min2|men2
糜	mi2|mei2
椂	lu4
圪	ge1|yi4
庹	tuo3
绗	hang2
辗	nian3|zhan3
箕	ji1
夌	ling2
掖	ye1|ye4
閫	kun3
癫	dian1
捋	lv3|luo1
稣	su1
楹	ying2
鳃	sai1
箣	ce4
锚	mao2
孰	shu2
跻	ji1
踅	xue2|chi4
蟒	mang3|meng3
畲	she1
绛	jiang4
篱	li2
晏	yan4
噩	e4
洺	ming2
胱	guang1
诘	ji2|jie2
苓	ling2|lian2
缭	liao2
疚	jiu4
嘀	di2|zhe2|di1
夭	yao1|wo4|wai1
婪	lan2|lan3
憨	han1
黝	you3|yi1
鳇	huang2
捺	na4
珰	dang1
鱿	you2
蛔	hui2
猩	xing1
忓	gan1|han4
炙	zhi4
鑻	pan4
赘	zhui4
瑾	jin3|jin4
愬	su4|se4
衲	na4
峪	yu4
蹿	cuan1
钡	bei4
吠	fei4
氽	tun3|qiu2
饪	ren4
瘟	wen1|wo4|yun1
鬟	huan2
磐	pan2
囨	pian1
轶	yi4
鎰	yi4
鰁	quan2
迢	tiao2
肛	gang1
殴	ou1
遐	xia2
孺	ru2
嬉	xi1|xi3
汕	shan4|shuan4
翩	pian1
俌	fu3
婲	hua1
楂	zha1|cha2
偕	xie2|jie1
亾	wang2
铿	keng1
骰	tou2|gu3
蝠	fu2
樟	zhang1
宕	dang4
柟	nan2|ran2
褥	ru4|nu4
沓	da2|ta4
鸾	luan2
钒	fan2
霓	ni2
漱	shu4
悴	cui4
绚	xuan4
蚓	yin3
檬	meng2
猾	hua2
皓	hao4|hui1
焘	dao4|tao1
俑	yong3
腓	fei2
疡	yang2
猖	chang1
邺	ye4|qiu1
赈	zhen4
塽	shuang3
葺	qi4
惚	hu1
唔	wu2|wu4|ng2|m2|n2
嚜	me5|mei4|ma5
矜	jin1|qin2|guan1
苞	bao1|pao2|biao1
忡	chong1
傜	yao2
悓	qian4
麒	qi2
汊	cha4
玮	wei3
髯	ran2
妞	niu1|hao4
麽	mo2|ma2|ma5|me5
惴	zhui4|chuan3|gua4
岑	cen2
溴	xiu4|chou4
鍖	chen3|zhen1
臼	jiu4
悯	min3
楁	he2
袅	niao3
倔	jue2|jue4
栧	yi4
萐	sha4
佽	ci4
兂	zan1
臻	zhen1
戞	jia2
赁	lin4
瓢	piao2
驭	yu4
淄	zi1
伎	ji4|zhi4|qi2|qi4
霆	ting2
戠	zhi1|zhi2
膺	ying1
窿	long2
彤	tong2
熺	xi1
昕	xin1|xuan1
抨	peng1|beng1
磴	deng4|deng1
邯	han2|han4
桅	wei2|gui3
韶	shao2
涎	xian2|yan4|dian4
帚	zhou3
阪	ban3
泗	si4
鎷	ma3
槌	chui2|zhui4|dui1
嗟	jie1|jie4|jue1
儴	rang2|xiang1
淖	nao4|zhao4|zhuo1|chuo4
筐	kuang1
鎺	zu3
麾	hui1
泾	jing1
鵞	e2
睾	gao1|hao4
嬶	bi2
菠	bo1
檲	tuan2
谥	shi4
雯	wen2
荔	li4
媛	yuan4|yuan2
糠	kang1
渍	zi4
噎	ye1|yi4|sha4
渲	xuan4
孚	fu2
啧	ze2
杵	chu3
斿	you2|liu2
煶	shi4
嗒	da1|ta4|da5
績	ji1
胯	kua4|kua3
纶	lun2|guan1
仡	ge1|yi4|wu4
鳝	shan4
娆	rao2|rao3
蚯	qiu1
螭	chi1
鐭	yu4
昙	tan2|yu4
巅	dian1
嬷	ma1|mo2
忖	cun3
徭	yao2
渚	zhu3
漪	yi1
茯	fu2
榕	rong2
秆	gan3
轛	zhui4
鲇	nian2
溥	pu3|fu1|bu4|bo2|po4
甥	sheng1
孳	zi1
菏	he2|ge1
骮	yi4
娼	chang1
氦	hai4
瞳	tong2
迩	er3
镀	du4
霹	pi1
煲	bao1
蜘	zhi1
樼	zhen1
绐	dai4
跤	jiao1|qiao1
萱	xuan1
巳	si4|yi3
缙	jin4
偃	yan3
莞	guan3|wan3|guan1
勶	che4
呭	yi4
孴	ni3|ni4|yi4
龕	kan1|ke4
斓	lan2
忱	chen2|dan4
鹘	gu3|hu2
鳅	qiu1
鐐	liao2
蔼	ai3
墠	shan4|chan3
臽	xian4
帧	zhen1|zheng4
俨	yan3
蝌	ke1
鑴	xi1|hui1
镏	liu2|liu4
褒	bao1
蜕	tui4|yue4
蹙	cu4
嗳	ai1|ai3|ai4
奲	duo3|che3
陲	chui2
硼	peng2|peng1
姣	jiao1|jiao3|xiao2
痉	jing4
壑	he4|huo4
梆	bang1
亸	duo3
绯	fei1
妸	e1|e3
癸	gui3
抿	min3
槟	bin1|bing1
蹂	rou2|rou3
躏	lin4
嘈	cao2
鞠	ju1|qu1|qiong1
挛	luan2
螅	xi1|ci4
桔	ju2|jie2|xie2
殆	dai4
悗	man2|men4
悸	ji4
幓	shan1|shen1|qiao1
椋	liang2
沱	tuo2|duo4|chi2
秧	yang1
憔	qiao2
雳	li4
亟	ji2|qi4
俾	bi3|bi4|bei1|pi4
撵	nian3
讪	shan4
鍊	lian4|jian4
惦	dian4
栦	chou2
氐	di1|di3|zhi1
淆	xiao2
锂	li3
嗖	sou1|su4|sou4
戣	kui2
铐	kao4
祛	qu1
戌	xu1|qu5
镰	lian2
鍝	yu2
榭	xie4
婃	cong2
纭	yun2
舷	xian2
堟	zhuan4
烽	feng1
幡	fan1
撂	liao4
簩	lao2
洄	hui2|hui4
祚	zuo4
佯	yang2
蔷	qiang2
瘀	yu1
劻	kuang1
讷	ne4
彧	yu4
胄	zhou4
樵	qiao2
濆	fen2|pen1
冨	fu4
黜	chu4
嚓	ca1|cha1
藓	xian3
湡	yu2
幔	man4
绶	shou4
畿	ji1
忔	qi4|yi4
骁	xiao1
醴	li3
笆	ba1
靼	da2
蹊	qi1|xi1
粽	zong4
亘	gen4|xuan1|geng4
袒	tan3|zhan4
恻	ce4
繬	se4
绫	ling2
镯	zhuo2
娓	wei3
張	zhang1|zhang4
踊	yong3
奚	xi1
阖	he2
愭	qi2
挝	wo1|zhua1
簬	lu4
匮	kui4|gui4
湃	pai4|ba2
箞	qian1
簪	zan1|zan3
獗	jue2
秸	jie1|ji2
钀	nie4|yi3
殃	yang1
俐	li4
蘸	zhan4
磊	lei3
颍	ying3
榷	que4
椤	luo2
胭	yan1
绌	chu4
晾	liang4
椾	jian1|zhan4
祎	yi1
絾	cheng2
坯	pi1|huai4
谚	yan4
鸱	chi1
柠	ning2|chu3|zhu4
笈	ji2
谙	an1
荃	quan2|chuo4
抠	kou1
栫	jian4|zun4
櫘	hui4
湗	feng4
痊	quan2
漉	lu4
蹑	nie4
墦	fan2|fan1
紵	zhu4|shu1
穹	qiong2|qiong1|kong1
傞	suo1
喳	zha1|cha1|zha5
谩	man2|man4
怂	song3
钯	ba3|pa2
滅	mie4
炲	tai2
猝	cu4
郅	zhi4|ji2
虱	shi1
恁	nen4|ren4|nin2
樹	shu4
衁	huang1
嗨	hai1|hei1
涣	huan4|hui4
燎	liao2|liao3|liao4
哝	nong2
肮	ang1|hang2|gang1
髻	ji4|jie2
迤	yi2|yi3|tuo2
峦	luan2
偎	wei1
锢	gu4
荀	xun2
歆	xin1
璘	lin2
绔	ku4
缪	mou2|miao4|miu4
娩	mian3|wan3|wen4
彗	hui4|sui4
欒	luan2
汵	gan4|han2|cen2
錘	chui2
闊	kuo4
钼	mu4
醌	kun1
怅	chang4
擢	zhuo2
龋	qu3
酉	you3
镞	zu2
谑	xue4
帀	za1
簸	bo3|bo4
馅	xian4
喏	nuo4|re3
诠	quan2
馷	pei4
迳	jing4
鲵	ni2
钮	niu3
盅	zhong1|chong1
煦	xu4|xiu1
坍	tan1
舔	tian3|tan1
浒	hu3|xu3
哒	da2|da1
嗚	wu1|wu4
舂	chong1|chuang1|zhong1
犵	ge1|he2
飕	sou1
嫖	piao2|piao4|biao1
盂	yu2
唠	lao2|lao4
芾	fei4|fu2
鑫	xin1|xun4
懵	meng3|meng4
狞	ning2
笠	li4
濠	hao2
漾	yang4
闩	shuan1
惘	wang3
欑	cuan2|zuan4
犺	kang4|gang3
鍟	sheng1
耘	yun2
瘴	zhang4
泸	lu2
谝	pian2|pian3
掰	bai1
蛹	yong3
皎	jiao3
儏	can4
剰	sheng4
鄱	po2|pi2|pan2
嗙	pang3|beng1|bang4
晁	chao2|zhao1|chao4
寐	mei4
蕨	jue2
芹	qin2
顣	cu4
堜	lian4
饬	chi4
瞟	piao3|piao4|piao1
粈	rou2
墜	zhui4
戛	jia2|ga1
恙	yang4
蚪	dou3
涿	zhuo1|zhuo2
浃	jia1
婏	fan4|fu4
桕	jiu4
亵	xie4
纣	zhou4
掂	dian1
珪	gui1
潰	kui4|xie4
濇	se4
翡	fei3
郸	dan1
煊	xuan1
嬬	ru2|nou4
裟	sha1
铂	bo2
痢	li4
赡	shan4
荪	sun1
茉	mo4
辏	cou4
檄	xi2
蹋	ta4
榛	zhen1
抡	lun1|lun2
嚑	xun1
熜	cong1|zong3
赍	ji1
焯	chao1|zhuo1|zhuo2|chuo4
忎	ren2
疟	nve4|yao4
欙	lei2|luo3
铢	zhu1
恺	kai3
诃	he1
鼾	han1
吮	shun3
垎	he4
庣	tiao1
珮	pei4
渥	wo4|ou4|wu1
饴	yi2
咫	zhi3
铣	xi3|xian3
褢	huai2
邬	wu1
夥	huo3
瓒	zan4
垩	e4|sheng4
汐	xi1
馐	xiu1
贰	er4
颯	sa4|li4
鹄	gu3|hu2
凋	diao1
眸	mou2
荼	tu2|cha2|ye2|shu1
螨	man3
棤	cuo4
眽	mo4|mi4
蜰	fei2|fei4
酪	lao4|luo4|lu4
剐	gua3
悻	xing4
拄	zhu3
粠	hong2
蒽	en1
鲥	shi2
谄	chan3
吝	lin4
雉	zhi4|kai3|yi3|si4
缨	ying1
悚	song3
栩	xu3|yu3
膥	cun1
劍	jian4
愪	yun2
狙	ju1
偌	ruo4|re4
榈	lv2
氭	dong1
瘽	qin2
骋	cheng3
呱	gu1|gua1|gua3
珩	hang2|heng2
谶	chen4
跛	bo3|bi4|po1
憩	qi4
嬮	yan1|yan4
攥	zuan4
鹦	ying1
蝙	bian1|pian2
鍋	guo1|guo3
恣	zi4
